"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","label"
0.35,0.925531914893617,0.78,1,0.89,0.85,0.69,0.65,1,0.51219512195122,0.88,0.16,0.46,0.04,0,0,0
0.75,0.851063829787234,1,1,0.95,0.78,0.65,0.57,0.9,0.439024390243902,0.81,0.1,0.42,0,0,0,0
0,0.638297872340426,0.24,0.96,0.56,1,0.45,0.63,0.24,0.365853658536585,0.15,0,0.57,0.04,1,0.07,0
0,0.893617021276596,0.43,1,0.89,0.87,0.75,0.59,0.44,0.439024390243902,0.09,0.14,0.48,0.05,1,0,0
0,0.734042553191489,0.22,1,0.58,0.86,0.56,0.5,0.29,0.268292682926829,0.14,0.01,0.58,0,1,0.04,0
0,0.861702127659574,0.32,1,0.55,0.79,0.51,0.48,0.33,0.25609756097561,0.25,0,0.62,0,1,0.04,0
0.13,0.893617021276596,0.54,1,0.92,0.87,0.7,0.63,0.96,0.51219512195122,1,0.17,0.56,0.03,0,0,0
0.33,0.680851063829787,0.46,1,0.59,0.8,0.34,0.48,0.01,0.25609756097561,0,0.02,0.5,0,1,0.06,0
0,0.787234042553192,0.25,1,0.61,0.89,0.51,0.57,0.28,0.341463414634146,0,0.02,0.5,0,1,0.01,0
0.26,0.787234042553192,0.58,1,0.63,0.61,0.38,0.26,0,0.0731707317073171,0.22,0.18,0.61,0,1,0.18,0
0.02,0.776595744680851,0.32,1,0.52,0.7,0.39,0.36,0.12,0.0731707317073171,0,0.07,0.5,0.07,1,0,0
0.29,0.797872340425532,0.6,1,0.9,0.81,0.68,0.52,0.34,0.329268292682927,0,0.04,0.47,0,1,0.01,0
0.3,0.776595744680851,0.72,1,0.95,0.71,0.59,0.4,1,0.378048780487805,0.84,0,0.27,0.04,0,0.27,0
0.28,0.734042553191489,0.49,1,0.57,0.63,0.34,0.26,0,0.0365853658536585,0.26,0.11,0.66,0,1,0.05,0
0,0.787234042553192,0.23,1,0.57,0.99,0.66,0.7,0.52,0.5,0.38,0.12,0.65,0,1,0,0
0.1,0.75531914893617,0.37,1,0.9,0.88,0.72,0.57,0.99,0.634146341463415,1,0.18,0.48,0,0,0.17,0
0.59,0.457446808510638,0.48,0.85,1,1,0.95,0.58,0.55,0.280487804878049,0,0.02,0.21,0.13,0.82,0,0
0.4,0.670212765957447,0.61,1,0.86,0.68,0.6,0.26,0.18,0,0,0.18,0.49,0.23,1,0.16,0
0.37,0.627659574468085,0.52,1,0.57,0.64,0.31,0.26,0,0.109756097560976,0.31,0.18,0.65,0,1,0.05,0
0.45,0.840425531914894,0.8,1,0.76,0.72,0.58,0.58,1,0.536585365853659,0.87,0.13,0.39,0,0,0.16,0
0.24,0.904255319148936,0.49,1,0.68,0.84,0.51,0.59,0.78,0.451219512195122,1,0.15,0.56,0.01,0,0,0
0.55,0.787234042553192,0.68,1,0.85,0.77,0.68,0.49,1,0.341463414634146,0.8,0.02,0.34,0,0,0.21,0
0,0.680851063829787,0.06,0.98,0.46,1,0.76,0.77,0.5,0.560975609756098,0.24,0.17,0.58,0,1,0.01,0
0.48,0.797872340425532,0.29,1,0.67,0.88,0.48,0.4,0.12,0.0365853658536585,0,0.08,0.5,0.14,1,0,0
0,0.787234042553192,0.22,1,0.43,0.71,0.36,0.37,0.09,0.0975609756097561,0.07,0.12,0.54,0.16,1,0,0
0,0.734042553191489,0.24,1,0.47,0.75,0.37,0.41,0.08,0.182926829268293,0.28,0.26,0.66,0.2,1,0,0
0,0.670212765957447,0.29,1,0.77,0.97,0.39,0.64,0.61,0.463414634146341,1,0.1,0.47,0,0.02,0.15,0
0.31,0.74468085106383,0.62,1,0.89,0.82,0.61,0.52,0.24,0.317073170731707,0,0.1,0.5,0.07,1,0,0
0,0.734042553191489,0.24,1,0.5,0.84,0.41,0.44,0.19,0.170731707317073,0.35,0,0.67,0,1,0,0
0.03,0.840425531914894,0.42,1,0.88,0.89,0.65,0.6,0.26,0.439024390243902,0,0.11,0.51,0,1,0.02,0
0,0.946808510638298,0.27,1,0.32,0.63,0.15,0.31,0.11,0.121951219512195,0.41,0.07,0.7,0.03,1,0,0
0.33,0.861702127659574,0.49,1,0.94,0.83,0.49,0.64,0.73,0.573170731707317,1,0.2,0.6,0,0,0.03,0
0,0.893617021276596,0.15,1,0.24,0.67,0.11,0.34,0.02,0.134146341463415,0.35,0.05,0.67,0.02,1,0,0
0,0.819148936170213,0.28,0.96,0.63,1,0.72,0.78,0.58,0.658536585365854,0.5,0.29,0.65,0.08,1,0,0
0.09,0.882978723404255,0.54,1,0.74,0.74,0.56,0.44,0.25,0.219512195121951,0,0.03,0.5,0.05,1,0,0
0.31,0.840425531914894,0.51,1,0.78,0.8,0.64,0.63,1,0.5,0.84,0.11,0.41,0,0,0.1,0
0.32,0.829787234042553,0.68,1,1,0.89,0.73,0.61,0.95,0.51219512195122,0.88,0.11,0.44,0,0,0.15,0
0.4,0.914893617021277,0.77,1,0.9,0.85,0.75,0.56,1,0.353658536585366,0.79,0.06,0.4,0.01,0,0,0
0.02,0.680851063829787,0.23,1,0.5,0.79,0.32,0.35,0,0.0121951219512195,0.1,0,0.54,0,1,0.01,0
0,0.787234042553192,0.28,1,0.55,0.82,0.37,0.48,0.11,0.24390243902439,0.24,0.03,0.62,0.01,1,0,0
0,0.765957446808511,0.28,1,0.58,0.88,0.45,0.56,0.24,0.341463414634146,0.12,0.01,0.55,0,1,0.02,0
0.22,0.74468085106383,0.54,1,0.62,0.58,0.39,0.2,0,0,0.13,0.24,0.57,0.27,1,0.23,0
0.16,0.702127659574468,0.4,1,0.94,0.95,0.84,0.64,0.47,0.451219512195122,0,0.14,0.31,0.01,1,0,0
0,0.797872340425532,0.3,1,0.78,0.93,0.62,0.65,0.28,0.51219512195122,0.07,0.14,0.48,0.01,1,0,0
0.2,0.74468085106383,0.39,1,0.56,0.79,0.32,0.46,0,0.268292682926829,0.21,0.18,0.59,0.01,1,0,0
0.15,0.734042553191489,0.33,1,0.58,0.79,0.35,0.46,0,0.231707317073171,0.07,0.2,0.52,0,1,0.07,0
0,0.840425531914894,0.47,0.96,1,1,0.93,0.82,0.72,0.719512195121951,0.82,0.33,0.68,0.09,0.19,0,0
0.33,0.808510638297872,0.53,0.99,1,1,0.73,0.72,0.81,0.585365853658537,0.89,0.2,0.48,0.02,0,0,0
0,0.776595744680851,0.35,1,0.71,0.83,0.45,0.55,0.84,0.573170731707317,1,0.2,0.57,0,0.03,0,0
0.21,0.882978723404255,0.36,1,0.24,0.61,0,0.31,0.01,0.25609756097561,0.32,0.02,0.67,0,1,0.17,0
0.02,0.617021276595745,0.21,1,0.47,0.81,0.3,0.44,0,0.146341463414634,0.07,0.24,0.53,0.14,1,0,0
0.34,0.861702127659574,0.7,1,1,0.92,0.83,0.67,0.73,0.48780487804878,0.77,0.14,0.41,0.01,0,0,0
0.38,0.840425531914894,0.69,1,0.93,0.81,0.77,0.54,1,0.414634146341463,0.93,0.09,0.45,0,0,0.13,0
0.02,0.936170212765957,0.51,1,1,0.95,0.69,0.71,1,0.560975609756098,0.97,0.17,0.51,0.05,0,0,0
0.09,0.75531914893617,0.18,1,0.74,0.95,0.66,0.68,0.34,0.524390243902439,0,0.19,0.37,0.02,1,0,0
0.08,0.829787234042553,0.37,1,0.54,0.72,0.32,0.42,0,0.219512195121951,0.15,0.1,0.58,0.05,1,0,0
0.41,0.765957446808511,0.68,1,0.78,0.83,0.7,0.57,1,0.414634146341463,0.82,0.05,0.41,0,0,0.09,0
0.33,0.914893617021277,0.72,1,1,0.88,0.8,0.69,0.61,0.597560975609756,0.67,0.27,0.35,0.12,0,0,0
0.59,0.882978723404255,0.42,0.23,0.29,0.42,0.25,1,1,1,0.75,0.46,0.98,0,0,0.03,0
0.27,0.75531914893617,0.6,1,1,0.92,0.7,0.62,0.97,0.621951219512195,0.92,0.18,0.49,0,0,0.09,0
0.36,0.75531914893617,0.55,1,0.53,0.57,0.34,0.19,0,0,0.23,0.19,0.62,0.14,1,0.04,0
0,0.797872340425532,0.38,1,0.66,0.74,0.42,0.36,0.06,0.121951219512195,0.1,0.01,0.55,0.06,1,0,0
0,0.829787234042553,0.36,1,0.65,0.78,0.53,0.46,0.22,0.231707317073171,0.15,0.17,0.62,0.19,1,0,0
0.3,0.563829787234043,0.46,1,0.49,0.47,0.27,0.05,0,0.0853658536585366,0.33,0.16,0.66,0,1,0.04,0
0.16,0.840425531914894,0.6,1,0.86,0.73,0.44,0.52,0.9,0.585365853658537,1,0.14,0.46,0,0,0.13,0
0,0.808510638297872,0.24,1,0.53,0.84,0.46,0.51,0.25,0.280487804878049,0.32,0,0.66,0.01,1,0.04,0
0.29,0.872340425531915,0.67,1,0.81,0.73,0.4,0.51,0.98,0.573170731707317,1,0.14,0.46,0,0,0.11,0
0.25,0.680851063829787,0.4,1,0.68,0.81,0.47,0.46,0.18,0.170731707317073,0,0,0.53,0.03,1,0.12,0
0.32,0.75531914893617,0.52,1,0.91,0.9,0.79,0.61,1,0.463414634146341,0.95,0.11,0.43,0,0,0.17,0
0.04,0.829787234042553,0.5,1,0.57,0.79,0.39,0.52,0.9,0.5,1,0.15,0.52,0,0,0.05,0
0,0.723404255319149,0.18,1,0.5,0.94,0.45,0.62,0.32,0.390243902439024,0.24,0.04,0.62,0,1,0.01,0
0.05,0.787234042553192,0.37,1,0.58,0.73,0.34,0.37,0,0.0975609756097561,0.05,0,0.52,0.02,1,0.07,0
0.42,0.680851063829787,0.54,1,0.85,0.91,0.63,0.6,0.32,0.402439024390244,0,0.07,0.47,0,1,0.02,0
0,0.712765957446808,0.26,1,0.66,0.97,0.62,0.63,0.37,0.402439024390244,0.12,0.06,0.58,0,1,0.02,0
0.3,0.861702127659574,0.65,1,0.83,0.8,0.73,0.61,1,0.475609756097561,0.81,0.14,0.41,0,0,0.04,0
0,0.74468085106383,0.33,1,0.82,0.92,0.45,0.7,0.69,0.548780487804878,1,0.16,0.58,0,0.13,0.1,0
0,0.808510638297872,0.22,1,0.5,0.91,0.48,0.66,0.38,0.51219512195122,0.33,0.18,0.55,0.01,1,0,0
0.48,0.659574468085106,0.59,0.95,1,1,0.78,0.62,0.43,0.378048780487805,0,0.09,0.4,0.11,0.88,0,0
0.59,0.829787234042553,0.83,1,0.91,0.7,0.74,0.41,0.38,0.231707317073171,0,0,0.49,0,1,0.04,0
0,0.861702127659574,0.22,1,0.48,0.97,0.62,0.78,0.64,0.670731707317073,0.64,0.32,0.76,0.11,1,0,0
0,0.648936170212766,0.35,0.98,0.88,1,0.64,0.65,0.49,0.475609756097561,1,0.22,0.63,0,0.08,0.01,0
0.36,0.670212765957447,0.56,1,0.79,0.82,0.6,0.47,0.29,0.207317073170732,0,0,0.5,0.04,1,0.12,0
0.52,0.797872340425532,0.86,1,0.89,0.72,0.63,0.53,1,0.51219512195122,0.85,0.11,0.43,0,0,0.11,0
0.18,0.74468085106383,0.55,1,0.65,0.62,0.38,0.23,0,0,0.13,0.18,0.57,0.2,1,0.16,0
0.2,0.606382978723404,0.29,1,0.58,0.76,0.44,0.36,0.11,0.0487804878048781,0,0.01,0.5,0,1,0.01,0
0,0.808510638297872,0.39,0.96,0.88,1,1,0.82,0.73,0.74390243902439,0.67,0.36,0.48,0.14,0.07,0,0
0.42,0.914893617021277,0.64,1,0.5,0.49,0.23,0.16,0,0.121951219512195,0.34,0.11,0.68,0.04,1,0,0
0.39,0.957446808510638,0.63,1,0.52,0.43,0.28,0,0,0.0487804878048781,0.33,0.15,0.66,0,1,0,0
0.19,0.691489361702128,0.3,1,0.78,0.89,0.5,0.65,0.81,0.560975609756098,1,0.17,0.56,0,0,0.03,0
0.15,0.75531914893617,0.42,1,0.76,0.87,0.41,0.62,0.93,0.682926829268293,1,0.29,0.58,0.07,0,0,0
0.43,0.808510638297872,0.6,1,1,0.91,0.74,0.68,0.6,0.609756097560976,0.77,0.26,0.41,0.1,0,0,0
0.11,0.585106382978723,0.25,1,0.66,0.96,0.62,0.55,0.29,0.280487804878049,0,0,0.5,0,1,0.01,0
0.29,0.787234042553192,0.62,1,0.74,0.63,0.52,0.26,0.04,0.0975609756097561,0,0.3,0.56,0.25,1,0,0
0.26,0.787234042553192,0.53,1,1,0.98,0.93,0.76,0.55,0.719512195121951,0.71,0.37,0.37,0.17,0,0,0
0,0.765957446808511,0.23,1,0.77,0.99,1,0.75,0.7,0.609756097560976,0.3,0.28,0.29,0.06,0.84,0,0
0.1,0.765957446808511,0.43,1,0.78,0.86,0.57,0.59,1,0.560975609756098,0.82,0.17,0.41,0,0,0.09,0
0,0.808510638297872,0.35,1,0.58,0.85,0.42,0.57,0.21,0.353658536585366,0.15,0,0.58,0.02,1,0.11,0
0,0.691489361702128,0.28,1,0.65,0.83,0.55,0.4,0.2,0.146341463414634,0.13,0.16,0.57,0.11,1,0,0
0,0.638297872340426,0.12,0.98,0.45,1,0.7,0.79,0.45,0.597560975609756,0.35,0.15,0.66,0,1,0.01,0
0,0.882978723404255,0.25,1,0.31,0.68,0.17,0.37,0.11,0.109756097560976,0.4,0.04,0.7,0.03,1,0,0
0,0.765957446808511,0.21,1,0.54,0.97,0.68,0.72,0.6,0.524390243902439,0.48,0.16,0.66,0,1,0.06,0
0.26,0.75531914893617,0.49,1,1,0.94,0.76,0.67,0.73,0.524390243902439,0.94,0.16,0.51,0,0,0.13,0
0.48,0.851063829787234,0.92,1,1,0.79,0.58,0.62,0.8,0.585365853658537,0.75,0.17,0.33,0,0,0.15,0
0.41,0.925531914893617,0.88,1,0.86,0.75,0.47,0.53,0,0.463414634146341,0.05,0.25,0.5,0.1,1,0,0
0,0.936170212765957,0.59,1,0.9,0.99,1,0.76,0.31,0.621951219512195,0.85,0.46,0.73,0.23,0.03,0,0
0,0.861702127659574,0.27,1,0.55,0.87,0.68,0.68,0.82,0.609756097560976,1,0.32,1,0.13,0.73,0,0
0.03,0.75531914893617,0.4,1,0.7,0.8,0.52,0.45,0.2,0.219512195121951,0,0,0.5,0.07,1,0.01,0
0,0.712765957446808,0.21,0.92,0.57,1,0.79,0.84,0.74,0.74390243902439,0.68,0.38,0.71,0.15,1,0,0
0.53,0.893617021276596,0.95,1,1,0.74,0.74,0.49,0.4,0.341463414634146,0,0.1,0.26,0,0.78,0.04,0
0.34,0.670212765957447,0.54,1,0.62,0.68,0.36,0.34,0,0.0975609756097561,0.06,0.1,0.52,0.03,1,0,0
0,0.904255319148936,0.38,1,0.81,0.91,0.67,0.62,1,0.48780487804878,0.98,0.16,0.51,0.05,0,0,0
0,0.765957446808511,0.34,1,0.8,0.91,0.63,0.57,0.57,0.524390243902439,1,0.25,0.72,0,0.24,0.01,0
0.3,0.872340425531915,0.76,1,1,0.77,0.62,0.5,0.53,0.439024390243902,0.94,0.17,0.51,0,0,0.03,0
0.38,0.712765957446808,0.53,1,0.96,0.97,0.75,0.61,1,0.536585365853659,0.83,0.09,0.39,0,0,0.15,0
0.22,0.691489361702128,0.44,1,0.56,0.74,0.32,0.32,0,0,0.18,0.15,0.59,0.24,1,0.38,0
0.26,0.904255319148936,0.7,1,0.86,0.75,0.49,0.52,0.11,0.353658536585366,0,0.03,0.49,0,1,0.03,0
0,0.808510638297872,0.43,1,1,0.91,0.83,0.65,0.48,0.51219512195122,0.09,0.18,0.05,0,0.72,0.04,0
0,0.712765957446808,0.3,1,0.68,0.87,0.56,0.51,0.25,0.268292682926829,0.02,0.02,0.51,0.04,1,0,0
0,0.872340425531915,0.45,1,1,0.99,0.96,0.76,0.69,0.658536585365854,0.69,0.29,0.69,0.05,0.18,0,0
0.45,0.74468085106383,0.49,0.95,1,1,0.87,0.61,0.48,0.378048780487805,0,0.13,0.29,0.1,0.82,0,0
0.33,0.861702127659574,0.68,1,0.87,0.79,0.71,0.53,1,0.378048780487805,0.86,0.07,0.43,0,0,0.01,0
0,0.787234042553192,0.17,1,0.53,0.94,0.75,0.73,0.77,0.573170731707317,0.63,0.23,0.61,0.01,1,0,0
0.05,0.957446808510638,0.37,1,0.66,0.76,0.42,0.45,0.04,0.268292682926829,0,0.03,0.5,0.01,1,0,0
0.05,0.776595744680851,0.19,1,0.25,0.66,0.14,0.32,0,0.0365853658536585,0.34,0,0.66,0.05,1,0.07,0
0,0.872340425531915,0.42,1,0.84,0.89,0.8,0.69,0.8,0.585365853658537,1,0.28,0.78,0.09,0.28,0,0
0.33,0.904255319148936,0.79,1,1,0.79,0.79,0.56,0.41,0.451219512195122,0,0.2,0.37,0.07,0.93,0,0
0,0.851063829787234,0.41,1,0.84,0.92,0.52,0.66,0.64,0.585365853658537,1,0.25,0.63,0.06,0.16,0,0
0,0.872340425531915,0.34,0.99,0.7,1,0.68,0.71,0.46,0.524390243902439,0.33,0.11,0.64,0,1,0.05,0
0,0.840425531914894,0.24,1,0.49,0.9,0.38,0.56,0.24,0.292682926829268,0.37,0,0.69,0.04,1,0.14,0
0.01,0.521276595744681,0.07,1,0.3,0.92,0.2,0.45,0,0.0487804878048781,0.23,0,0.61,0.1,1,0.12,0
0,0.606382978723404,0.22,0.89,0.83,1,0.84,0.67,0.57,0.426829268292683,0.14,0.08,0.33,0,1,0.07,0
0.31,0.680851063829787,0.47,1,0.91,0.75,0.51,0.5,0.71,0.585365853658537,1,0.18,0.51,0,0,0.17,0
0.38,0.765957446808511,0.73,1,0.92,0.7,0.58,0.48,1,0.475609756097561,0.85,0.06,0.33,0,0,0.28,0
0.44,0.617021276595745,0.6,1,0.97,0.83,0.77,0.43,0.39,0.134146341463415,0,0.13,0.51,0.23,1,0,0
0.28,0.872340425531915,0.55,1,0.56,0.69,0.3,0.41,0,0.195121951219512,0.33,0.07,0.72,0,1,0.26,0
0.15,0.787234042553192,0.46,1,0.65,0.77,0.57,0.47,1,0.451219512195122,0.9,0.1,0.46,0,0,0.03,0
0.13,0.872340425531915,0.6,1,1,0.86,0.64,0.59,0.72,0.51219512195122,0.98,0.17,0.5,0.03,0,0,0
0.35,0.734042553191489,0.58,1,0.82,0.83,0.64,0.51,1,0.451219512195122,0.74,0.08,0.33,0,0,0.11,0
0,0.48936170212766,0.2,0.83,0.56,1,0.79,0.84,0.58,0.634146341463415,0.36,0.2,0.59,0.01,1,0,0
0.36,0.787234042553192,0.67,1,1,0.92,0.75,0.63,0.99,0.5,0.94,0.16,0.49,0.03,0,0,0
0,0.617021276595745,0.16,1,0.57,0.89,0.4,0.48,0.02,0.207317073170732,0.01,0.18,0.49,0,1,0,0
0.45,0.840425531914894,0.75,1,0.7,0.63,0.43,0.29,0.05,0.0487804878048781,0,0.01,0.5,0,1,0,0
0.33,0.617021276595745,0.58,1,0.94,0.9,0.67,0.51,0.28,0.231707317073171,0,0.15,0.49,0.16,1,0,0
0.38,0.691489361702128,0.48,0.95,1,1,0.87,0.72,0.83,0.585365853658537,0.92,0.2,0.49,0,0,0,0
0,0.819148936170213,0.26,1,0.45,0.8,0.27,0.52,0.06,0.329268292682927,0.29,0.1,0.65,0.05,1,0,0
0,0.851063829787234,0.37,1,0.95,0.92,0.87,0.67,0.55,0.536585365853659,0.18,0.23,0.32,0.02,1,0,0
0.23,0.712765957446808,0.3,1,0.8,0.93,0.6,0.61,0.9,0.536585365853659,1,0.1,0.5,0,0,0.15,0
0.49,0.712765957446808,0.69,1,1,0.77,0.82,0.4,0.47,0.134146341463415,0,0,0.43,0.11,0.95,0.11,0
0.53,0.797872340425532,0.66,1,0.86,0.7,0.77,0.35,0.43,0.109756097560976,0,0.08,0.51,0.11,1,0,0
0.12,0.851063829787234,0.62,1,0.92,0.86,0.54,0.64,0.81,0.560975609756098,1,0.22,0.62,0,0,0.05,0
0.28,0.776595744680851,0.55,1,0.52,0.68,0.29,0.39,0,0.182926829268293,0.31,0.01,0.68,0,1,0.23,0
0.23,0.74468085106383,0.52,1,1,0.98,0.79,0.71,0.63,0.609756097560976,0.82,0.19,0.49,0,0,0.07,0
0.51,0.851063829787234,0.77,1,0.64,0.7,0.89,0.58,1,0.329268292682927,0.75,0,0.35,0,0,0.18,0
0.44,0.702127659574468,0.69,1,1,0.86,0.67,0.61,0.76,0.597560975609756,0.77,0.13,0.37,0,0,0.19,0
0,0.75531914893617,0.29,1,0.78,0.87,0.55,0.59,0.67,0.609756097560976,1,0.23,0.66,0,0.12,0.07,0
0,0.776595744680851,0.25,1,0.51,0.8,0.53,0.46,0.37,0.182926829268293,0.3,0,0.65,0.03,1,0.01,0
0.32,0.851063829787234,0.72,1,0.74,0.71,0.44,0.44,0.03,0.268292682926829,0,0.18,0.54,0.18,1,0,0
0,0.861702127659574,0.35,1,0.57,0.82,0.41,0.53,0.22,0.317073170731707,0.26,0,0.66,0.07,1,0.2,0
0.08,0.75531914893617,0.47,1,1,0.96,0.71,0.66,1,0.560975609756098,0.99,0.13,0.46,0,0,0.13,0
0.32,0.936170212765957,0.7,1,1,0.94,0.71,0.76,0.51,0.670731707317073,0.53,0.3,0.37,0.1,0,0,0
0.24,0.872340425531915,0.59,1,1,0.91,0.89,0.64,0.61,0.51219512195122,0.28,0.22,0,0,0.47,0.02,0
0,0.851063829787234,0.35,1,0.89,0.89,0.68,0.63,0.58,0.560975609756098,1,0.25,0.71,0.02,0.08,0,0
0.46,0.957446808510638,0.8,1,0.81,0.76,0.77,0.6,1,0.439024390243902,0.75,0.12,0.36,0,0,0.06,0
