"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","label"
0.01,0.922077922077922,0,0.89,0.49,0.9,1,1,0.99,0.85,0.79,0.56,0.63,0.25,0.54,0,0
0,1,0.73,0.99,0.62,0.66,0.34,0.33,0.14,0,0.05,0.15,0.19,0.43,1,0.43,0
0,0.987012987012987,0.57,1,0.88,0.7,0.8,0.33,0.52,0,0.03,0.03,0.4,0.24,1,0.27,0
0,0.818181818181818,0.55,1,0.73,0.7,0.5,0.35,0.29,0,0.03,0.32,0.38,0.45,1,0.41,0
0,0.766233766233766,0.35,1,0.68,0.81,0.72,0.39,0.57,0,0.26,0.23,0.61,0.4,1,0.52,0
0.26,0.961038961038961,0.29,1,0.75,0.99,1,0.83,0.82,0.61,0.56,0.39,0.27,0.2,0,0,0
0,0.883116883116883,0.35,1,1,0.97,0.74,0.65,0.38,0.32,0.23,0,0.02,0.34,0.59,0.38,0
0,0.909090909090909,0.69,1,0.98,0.69,0.71,0.35,0.35,0.04,0.13,0,0.24,0.35,1,0.35,0
0.06,0.909090909090909,0.48,1,0.84,0.7,0.79,0.23,0.48,0,0,0.23,0.44,0.35,1,0.39,0
0,0.61038961038961,0.32,1,0.87,0.94,0.99,0.54,0.92,0.13,0.55,0,0.42,0.2,1,0.27,0
0,0.948051948051948,0.43,1,1,0.86,0.75,0.51,0.48,0.16,0.33,0,0.17,0.33,0.88,0.36,0
0,0.766233766233766,0.38,1,0.67,0.79,0.59,0.39,0.41,0,0.34,0.16,0.58,0.4,1,0.51,0
0,0.883116883116883,0.41,1,1,0.94,0.74,0.62,0.45,0.31,0.15,0,0.04,0.16,0.47,0.32,0
0,0.532467532467532,0.23,1,0.74,0.84,0.75,0.42,0.61,0,0.06,0.01,0.36,0.3,1,0.37,0
0,1,0.46,1,0.86,0.84,0.68,0.43,0.56,0,0.4,0.09,0.5,0.34,1,0.34,0
0,0.909090909090909,0.79,1,1,0.68,0.68,0.34,0.26,0,0.19,0.1,0.09,0.44,0.94,0.42,0
0.03,0.948051948051948,0.53,1,0.81,0.68,0.83,0.28,0.72,0,1,0.34,0.51,0.41,0,0.43,0
0,0.987012987012987,0.91,1,0.79,0.69,0.6,0.35,0.5,0,0.17,0.03,0.09,0.28,1,0.37,0
0.32,0.909090909090909,0.8,1,1,0.64,0.63,0.26,0.36,0,0.96,0.29,0.78,0.42,0,0.38,0
0,1,0.46,0.96,0.91,0.94,1,0.82,0.72,0.59,0.53,0.33,0.49,0.05,0.66,0,0
0,0.818181818181818,0.35,0.97,1,1,0.73,0.67,0.48,0.34,0.21,0,0.18,0.05,0.56,0.24,0
0,0.987012987012987,0.75,1,0.83,0.71,0.52,0.36,0.27,0,0.06,0.03,0.22,0.3,1,0.34,0
0,0.909090909090909,0.49,1,1,1,0.8,0.66,0.61,0.27,0.51,0,0.44,0.35,0.95,0.37,0
0,0.597402597402597,0.39,1,0.82,0.84,0.7,0.4,0.41,0,0.06,0.13,0.44,0.41,1,0.4,0
0,0.961038961038961,0.49,1,1,0.95,0.89,0.6,0.6,0.28,0.3,0,0.24,0.36,0.77,0.39,0
0,0.844155844155844,0.42,1,0.74,0.9,0.56,0.44,0.34,0,0.26,0.31,0.51,0.55,1,0.57,0
0.1,0.987012987012987,0.36,0.98,1,1,0.91,0.68,0.58,0.34,0.24,0,0,0.03,0.36,0.22,0
0,1,0.64,1,1,0.7,0.88,0.32,0.57,0,0.96,0.3,0.82,0.43,0.16,0.44,0
0,0.883116883116883,0.36,1,0.58,0.64,0.42,0.17,0.23,0,0.22,0.37,0.61,0.42,1,0.47,0
0,0.909090909090909,0.41,1,0.78,0.79,0.66,0.4,0.6,0,1,0.14,0.76,0.32,0.26,0.35,0
0,0.519480519480519,0.16,0.9,1,1,0.9,0.73,0.53,0.4,0.22,0.06,0.11,0,0.48,0.18,0
0.17,0.974025974025974,0.77,1,0.85,0.66,0.68,0.32,0.42,0,0,0.26,0.38,0.5,1,0.6,0
0.24,1,0.77,0.93,1,0.72,0.71,0.48,0.46,0.23,0.28,0,0,0.24,0.31,0.35,0
0.06,0.805194805194805,0.47,1,0.76,0.78,0.56,0.39,0.36,0,0,0.29,0.47,0.39,1,0.33,0
0,0.922077922077922,0.44,1,0.84,0.82,1,0.47,0.93,0.1,0.9,0,0.88,0.23,0.41,0.26,0
0,0.987012987012987,0.27,1,0.64,0.95,1,0.87,0.77,0.63,0.58,0.36,0.41,0.07,0.32,0,0
0.15,0.896103896103896,0,0.94,0.56,0.98,1,1,0.66,0.79,0.46,0.53,0.37,0.27,0.43,0,0
0.14,1,0.52,1,0.72,0.63,0.62,0.23,0.33,0,0,0.23,0.5,0.25,1,0.27,0
0,0.857142857142857,0.5,1,0.85,0.78,0.7,0.39,0.56,0,0.3,0.13,0.43,0.35,1,0.45,0
